Titre,Secteur,Ville,Prix,Annee-Modele,Boite de vitesses,Type de carburant,Kilometrage,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat
Seat Ateca FR,El Houda,Agadir,350000,2023,Automatique,Diesel,42499,Seat,Ateca,5,WW au Maroc,Oui,8,Neuf
tiguan 2021,Aïn Chock,Casablanca,,2021,Automatique,Diesel,184999,Volkswagen,Tiguan,5,Dédouanée,Oui,8,Excellent
Volkswagen Golf 7 Diesel Automatique 2017 à Fès,Route Ain Chkaf,Fès,167000,2017,Automatique,Diesel,2499,Volkswagen,Golf 7,5,WW au Maroc,,7,Très bon
Renault Megane Essence Manuelle 2008 à Salé,Hay Karima,Salé,46000,2008,Manuelle,Essence,324999,Renault,Megane,5,WW au Maroc,Non,9,Très bon
Peugeot 504 Diesel Manuelle 1983 à Tiznit,Toute la ville,Tiznit,45000,1983,Manuelle,Diesel,324999,Peugeot,504,5,WW au Maroc,Oui,8,Excellent
Toyota Yaris Essence Manuelle 2019 à Rabat,Yacoub El Mansour,Rabat,,2019,Manuelle,Essence,104999,Toyota,Yaris,5,WW au Maroc,Oui,6,Excellent
Porsche Macan Diesel,Anfa,Casablanca,315000,2015,Automatique,Diesel,224999,Porsche,Macan,5,WW au Maroc,Oui,12,Excellent
Renault Clio 4 Diesel Manuelle 2019 à Kénitra,Bir Rami,Kénitra,110000,2019,Manuelle,Diesel,104999,Renault,Clio,5,WW au Maroc,Non,6,Bon
Mercedes-Benz Classe A Diesel Automatique 2020,Aïn Chock,Casablanca,,2019,Automatique,Diesel,124999,Mercedes-Benz,Classe A,5,WW au Maroc,Oui,7,Excellent
Mercedes classe C 200,Centre ville,Tanger,255000,2015,Automatique,Diesel,154999,Mercedes-Benz,Classe C,5,Importée neuve,,7,Très bon
Jeep Renegade Diesel Automatique 2022 à Casablanca,Sidi Bernoussi,Casablanca,,2022,Automatique,Diesel,67499,Jeep,Renegade,5,WW au Maroc,Oui,6,Très bon
Renault Clio 5 1.5 dci 115 ch Diesel,Autre secteur,Casablanca,,2021,Manuelle,Diesel,114999,Renault,Clio,5,WW au Maroc,Oui,6,Excellent
Hyundai Tucson Hybride Automatique 2023,Autre secteur,El Jadida,340000,2023,Automatique,Hybride,27499,Hyundai,Tucson,5,WW au Maroc,Oui,9,Excellent
Dacia Stepway Diesel Manuelle 2022 à Fès,Route de Sefrou,Fès,150000,2022,Manuelle,Diesel,104999,Dacia,Sandero,5,WW au Maroc,,6,Excellent
Audi Q5 Diesel Automatique 2017 à Rabat,Hay el Fath,Rabat,,2017,Automatique,Diesel,194999,Audi,Q5,5,WW au Maroc,Oui,8,Excellent
Dacia Dokker Diesel Manuelle 2015 à Tit Mellil,Toute la ville,Tit Mellil,110000,2015,Manuelle,Diesel,154999,Dacia,Dokker,5,WW au Maroc,Oui,6,Très bon
Hyundai accent,Toute la ville,Mehdia,160000,2021,Manuelle,Diesel,57499,Hyundai,Accent,5,WW au Maroc,Non,6,Excellent
C15 Model 1997  Lblad,Toute la ville,Taroudant,27000,1997,Manuelle,Diesel,67499,Citroen,C15,3,,Non,7,Bon
BMW Série 2 Diesel Automatique 2018 à Casablanca,Californie,Casablanca,230000,2018,Automatique,Diesel,144999,BMW,Série 2,3,WW au Maroc,Oui,8,Excellent
Dacia Sandero Diesel Manuelle 2022 à Casablanca,Ain Sebaa,Casablanca,115000,2022,Manuelle,Diesel,124999,Dacia,Sandero,,WW au Maroc,,6,
Hyundai ix35,Centre ville,Tanger,140000,2014,Manuelle,Diesel,274999,Hyundai,ix35,5,WW au Maroc,Oui,7,Très bon
dacia duster 2019,Autre secteur,Agadir,168000,2019,Manuelle,Diesel,154999,Dacia,Duster,,WW au Maroc,,6,Excellent
Audi A4 diesel,Administratif,Tanger,,2020,Automatique,Diesel,77499,Audi,A4,5,Dédouanée,Oui,8,Neuf
Ssangyong Family Diesel Manuelle 2010 à Marrakech,Allal El Fassi,Marrakech,50000,2010,Manuelle,Diesel,184999,Ssangyong,Family,5,Dédouanée,Non,8,Bon
Skoda kamiq diesel automatique,Autre secteur,Fès,,2021,Automatique,Diesel,184999,Skoda,Kamiq,5,Dédouanée,Oui,6,Neuf
Renault Megane Essence Manuelle 2011 à Agadir,Hay Massira,Agadir,85000,2011,Manuelle,Essence,57499,Renault,Megane,5,WW au Maroc,Non,9,Très bon
Toyota Yaris Essence 42 000km,Hay Dakhla,Agadir,120000,2019,Manuelle,Essence,47499,Toyota,Yaris,5,WW au Maroc,Non,6,Excellent
Toyota Auris essence,Guich Oudaya,Rabat,75000,2008,Manuelle,Essence,184999,Toyota,Auris,5,WW au Maroc,Oui,8,Excellent
Porsche Macan Diesel,Anfa,Casablanca,315000,2015,Automatique,Diesel,224999,Porsche,Macan,5,WW au Maroc,Oui,12,Excellent
