Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
route ain chkaf,fès,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,False,7,Très bon,5.117993812416755,5.6943758726588545,8
hay karima,salé,Manuelle,Essence,renault,megane,5,WW au Maroc,True,9,Très bon,3.828641396489095,329.6892437752657,17
anfa,casablanca,Automatique,Diesel,porsche,macan,5,WW au Maroc,False,12,Excellent,5.752572638825633,221.32068106741738,10
bir rami,kénitra,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Bon,4.700480365792417,106.89803474294574,6
centre ville,tanger,Automatique,Diesel,mercedes-benz,classe c,5,Importée neuve,False,7,Très bon,5.541263545158426,155.51530023435168,10
route de sefrou,fès,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,5.0106352940962555,105.90932861053236,3
toute la ville,tit mellil,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Très bon,4.700480365792417,158.2981281441812,10
toute la ville,Others,Manuelle,Diesel,hyundai,accent,5,WW au Maroc,True,6,Excellent,5.075173815233827,61.79656426461595,4
toute la ville,taroudant,Manuelle,Diesel,citroen,c15,3,WW au Maroc,True,7,Bon,3.295836866004329,62.91461731245974,28
californie,casablanca,Automatique,Diesel,bmw,série 2,3,WW au Maroc,False,8,Excellent,5.438079308923196,142.06017779062637,7
ain sebaa,casablanca,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.74493212836325,120.80919487848334,3
centre ville,tanger,Manuelle,Diesel,hyundai,ix35,5,WW au Maroc,False,7,Très bon,4.941642422609304,270.7943206333345,11
autre secteur,agadir,Manuelle,Diesel,dacia,duster,5,WW au Maroc,False,6,Excellent,5.123963979403259,156.36120827374253,6
allal el fassi,marrakech,Manuelle,Diesel,ssangyong,Others,5,Dédouanée,True,8,Bon,3.912023005428146,189.92894307053092,15
hay massira,agadir,Manuelle,Essence,renault,megane,5,WW au Maroc,True,9,Très bon,4.442651256490317,57.48904318903659,14
hay dakhla,agadir,Manuelle,Essence,toyota,yaris,5,WW au Maroc,True,6,Excellent,4.787491742782046,49.42182595952221,6
guich oudaya,rabat,Manuelle,Essence,toyota,auris,5,WW au Maroc,False,8,Excellent,4.31748811353631,185.58219129880837,17
oasis,casablanca,Automatique,Diesel,bmw,x3,5,WW au Maroc,True,12,Bon,4.442651256490317,159.66899689491166,19
centre,tanger,Automatique,Diesel,jaguar,xe,5,WW au Maroc,False,8,Neuf,5.472270673671475,72.05836009491419,8
toute la ville,tiznit,Manuelle,Diesel,peugeot,307,5,WW au Maroc,True,6,Très bon,4.174371885161908,228.93293941990623,19
sidi maarouf,casablanca,Manuelle,Diesel,peugeot,3008,5,WW au Maroc,False,6,Excellent,4.976733742420574,135.42901362491412,9
tanja balia,tanger,Manuelle,Diesel,opel,crossland,5,WW au Maroc,False,6,Excellent,4.962844630259907,152.4643827733407,7
cité adrar,agadir,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Très bon,5.062595033026967,110.79853392617632,5
centre ville,tétouan,Manuelle,Essence,seat,ibiza,5,WW au Maroc,True,7,Excellent,4.219507705176107,87.40675216218438,17
safir,tétouan,Manuelle,Diesel,citroen,berlingo,5,Importée neuve,True,6,Bon,4.8283137373023015,221.70459333455756,12
massira 1,marrakech,Automatique,Essence,fiat,500,3,WW au Maroc,True,4,Excellent,4.553876891600541,27.322467803197565,11
centre ville,mohammedia,Manuelle,Diesel,peugeot,307,5,WW au Maroc,False,6,Très bon,4.04305126783455,278.8390982822047,22
toute la ville,missour,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,6,Excellent,4.882801922586371,229.32701040291877,10
toute la ville,errachidia,Manuelle,Diesel,toyota,hilux,5,WW au Maroc,True,10,Excellent,5.634789603169249,25.28345092519052,12
sbata,casablanca,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,6,Excellent,5.056245805348308,108.48099736560982,6
toute la ville,guelmim,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,7,Très bon,4.248495242049359,372.2166179391024,19
fès médina,fès,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,True,8,Très bon,5.209486152841421,172.83197002370255,13
oulfa,casablanca,Automatique,Essence,mini,cooper,3,WW au Maroc,False,6,Très bon,4.74493212836325,96.14118375107172,12
hay targa,marrakech,Automatique,Diesel,hyundai,accent,5,WW au Maroc,False,6,Excellent,5.10594547390058,111.37270382721198,3
safir,tétouan,Manuelle,Diesel,citroen,berlingo,5,Importée neuve,True,6,Bon,4.8283137373023015,221.24916702588803,12
casablanca finance city,casablanca,Automatique,Diesel,audi,a5,5,WW au Maroc,True,8,Très bon,5.3706380281276624,192.09819402347733,9
Others,settat,Manuelle,Diesel,mercedes-benz,190,5,Dédouanée,True,8,Très bon,4.219507705176107,45.082403389405535,33
ain sebaa,casablanca,Automatique,Diesel,alfa romeo,giulietta,5,WW au Maroc,False,6,Excellent,5.14166355650266,139.9099473956367,5
hay zaytoun,agadir,Manuelle,Essence,hyundai,i10,5,WW au Maroc,True,6,Bon,4.1588830833596715,192.94251482054233,15
centre ville,agadir,Automatique,Diesel,mercedes-benz,classe ml,5,WW au Maroc,False,12,Très bon,4.442651256490317,370.25646558978605,19
hay riad,rabat,Automatique,Diesel,mercedes-benz,classe e,3,WW au Maroc,True,9,Très bon,5.247024072160486,191.27821757764596,10
Others,marrakech,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,5.135798437050262,12.218515003997094,1
Others,essaouira,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.543294782270004,225.8147482596146,5
