iter	RMSE
0	0.5953929964
1	0.573428202
2	0.5527632812
3	0.5335034907
4	0.5152671195
5	0.4982008227
6	0.4821314486
7	0.4668161005
8	0.4518962138
9	0.4385006098
10	0.4257814148
11	0.4137082302
12	0.4023621332
13	0.3915369868
14	0.3814179837
15	0.3720218474
16	0.3633737072
17	0.3548767773
18	0.3468346517
19	0.3393396493
20	0.3324235263
21	0.3258007921
22	0.3198241366
23	0.3140563382
24	0.3087804686
25	0.3038072092
26	0.2991440497
27	0.2948185467
28	0.290644425
29	0.286952392
30	0.2835132135
31	0.2800821649
32	0.2768510604
33	0.2737615729
34	0.2710275245
35	0.268466604
36	0.2661922058
37	0.2637906634
38	0.2615578935
39	0.2595480874
40	0.257734273
41	0.2559998086
42	0.2542681737
43	0.252764745
44	0.2513311813
45	0.2498436265
46	0.248520019
47	0.2472973302
48	0.2462433463
49	0.2451990675
50	0.2441917457
51	0.2432962112
52	0.242280911
53	0.2414525764
54	0.2406224173
55	0.2398264992
56	0.2391250706
57	0.2384159864
58	0.237712046
59	0.2370514601
60	0.2364325519
61	0.2358252608
62	0.2352993094
63	0.234771995
64	0.2342883618
65	0.2338374499
66	0.2334132016
67	0.2329754263
68	0.2326052214
69	0.2322216163
70	0.2318561649
71	0.2315600472
72	0.2312629514
73	0.2307925026
74	0.2305327551
75	0.230244766
76	0.2299272054
77	0.2295237994
78	0.2292886915
79	0.2290327614
80	0.2287909883
81	0.2285256784
82	0.2283299927
83	0.2279879052
84	0.2276461323
85	0.2274419889
86	0.2271389288
87	0.2269028143
88	0.2267374724
89	0.2265068515
90	0.2262812444
91	0.2261090969
92	0.2259477524
93	0.2257850557
94	0.2256435991
95	0.2253824729
96	0.2252683325
97	0.2250320056
98	0.2248021812
99	0.2246778713
100	0.2245337848
101	0.2243585934
102	0.2242118403
103	0.2241017634
104	0.2240064271
105	0.2238310623
106	0.2236023036
107	0.2234950041
108	0.2233611037
109	0.2231905277
110	0.223088015
111	0.2229814535
112	0.2228174992
113	0.2226950329
114	0.2225754214
115	0.2224394743
116	0.22234852
117	0.2221535728
118	0.2219965704
119	0.2218717593
120	0.2217476204
121	0.2216708683
122	0.2215520761
123	0.2212033227
124	0.2211077968
125	0.2210450817
126	0.2209611508
127	0.2208239119
128	0.2207293526
129	0.2204701236
130	0.2203979873
131	0.2201564059
132	0.2200112748
133	0.2199136207
134	0.2198313206
135	0.2196513821
136	0.2195181424
137	0.2194190062
138	0.2193008047
139	0.219205525
140	0.2190871215
141	0.2189334094
142	0.2188559866
143	0.2187228401
144	0.2185328003
145	0.2184831227
146	0.218395995
147	0.218256029
148	0.2181842896
149	0.2180124208
150	0.2177871034
151	0.2177345116
152	0.217647388
153	0.2174957955
154	0.2173690943
155	0.2173088996
156	0.2172390321
157	0.2171492798
158	0.2170649198
159	0.2169828957
160	0.2168658462
161	0.2167351078
162	0.216538322
163	0.2164025048
164	0.2163322169
165	0.2162639178
166	0.2161645465
167	0.2160574148
168	0.2159964013
169	0.2159424126
170	0.2157713358
171	0.2157246331
172	0.2156174299
173	0.2155023469
174	0.2154027378
175	0.2152810897
176	0.2151799789
177	0.2150070937
178	0.2149541508
179	0.2147682523
180	0.2146304684
181	0.2145302293
182	0.2143892295
183	0.2143294695
184	0.2142112719
185	0.2140919173
186	0.2140595686
187	0.2138957362
188	0.2138267713
189	0.2136387063
190	0.2135361834
191	0.2133530967
192	0.2132255497
193	0.2131297637
194	0.2129866291
195	0.2129341752
196	0.2128514947
197	0.2127326985
198	0.2126241367
199	0.2125895829
200	0.2125087379
201	0.2124148948
202	0.2122794794
203	0.2122275272
204	0.2121270024
205	0.2120448933
206	0.2118487136
207	0.2117812773
208	0.2116684454
209	0.2115680327
210	0.2114915175
211	0.2113868518
212	0.2111917406
213	0.2110843852
214	0.2109659466
215	0.2107978161
216	0.2107557323
217	0.210659632
218	0.2105612489
219	0.2104795252
220	0.210372803
221	0.2102065601
222	0.2101227819
223	0.2100445017
224	0.2099548799
225	0.2098655464
226	0.2098056378
227	0.2096745383
228	0.2095514866
229	0.209487375
230	0.209382811
231	0.2092983313
232	0.2092282112
233	0.2090830249
234	0.2090208232
235	0.2089426757
236	0.2088192909
237	0.2087330319
238	0.2085897099
239	0.2085528141
240	0.2084635569
241	0.208407825
242	0.2083458535
243	0.208249086
244	0.2081581763
245	0.2080759963
246	0.2079797833
247	0.2079444696
248	0.2078544927
249	0.2078014537
250	0.2077434109
251	0.2076395863
252	0.2075510979
253	0.2074866174
254	0.2074065497
255	0.2073720699
256	0.2073073752
257	0.2072197436
258	0.2071345234
259	0.2070125152
260	0.2069297437
261	0.2068689522
262	0.206799933
263	0.2066626123
264	0.2065543681
265	0.2065221856
266	0.2064195349
267	0.2062973115
268	0.2061926099
269	0.2061427121
270	0.2060981205
271	0.2060398611
272	0.2059966746
273	0.2059501498
274	0.2059037836
275	0.2058219684
276	0.205759706
277	0.2056871221
278	0.2056079031
279	0.2055790935
280	0.2055543469
281	0.2054606924
282	0.2053944079
283	0.2053229607
284	0.2052505704
285	0.2052029706
286	0.2051402688
287	0.2050960174
288	0.2050311773
289	0.2049874544
290	0.2049138272
291	0.204852331
292	0.2047925864
293	0.2047573168
294	0.204698313
295	0.2046287383
296	0.204567285
297	0.2044989998
298	0.2044060717
299	0.20436927
