iter	Passed	Remaining
0	8	2410
1	14	2086
2	19	1945
3	25	1905
4	31	1882
5	40	1968
6	46	1943
7	53	1946
8	59	1925
9	65	1897
10	72	1897
11	78	1888
12	85	1882
13	91	1875
14	98	1863
15	105	1865
16	112	1870
17	120	1881
18	126	1873
19	133	1865
20	143	1909
21	152	1925
22	160	1934
23	169	1943
24	176	1945
25	186	1969
26	194	1967
27	202	1967
28	209	1961
29	217	1960
30	226	1963
31	234	1967
32	243	1970
33	251	1966
34	259	1961
35	267	1958
36	274	1949
37	281	1943
38	289	1936
39	296	1929
40	304	1923
41	312	1917
42	320	1914
43	327	1905
44	335	1901
45	343	1896
46	351	1890
47	358	1883
48	367	1880
49	375	1877
50	384	1877
51	392	1873
52	402	1874
53	409	1867
54	418	1862
55	426	1858
56	435	1856
57	445	1858
58	454	1857
59	465	1862
60	475	1862
61	487	1869
62	497	1871
63	509	1877
64	519	1877
65	530	1880
66	540	1878
67	550	1877
68	560	1876
69	569	1871
70	580	1873
71	590	1870
72	600	1868
73	612	1871
74	623	1869
75	634	1869
76	644	1865
77	655	1866
78	666	1864
79	676	1859
80	685	1854
81	697	1854
82	708	1851
83	718	1846
84	727	1841
85	737	1834
86	745	1824
87	755	1819
88	767	1818
89	778	1815
90	791	1817
91	802	1813
92	813	1811
93	825	1808
94	836	1804
95	848	1802
96	859	1798
97	875	1803
98	886	1799
99	897	1795
100	910	1793
101	924	1794
102	940	1798
103	950	1791
104	961	1785
105	972	1779
106	986	1778
107	996	1771
108	1007	1764
109	1017	1756
110	1027	1749
111	1037	1741
112	1047	1732
113	1058	1727
114	1071	1723
115	1082	1716
116	1093	1710
117	1104	1704
118	1115	1696
119	1125	1688
120	1135	1680
121	1144	1670
122	1154	1661
123	1164	1652
124	1173	1642
125	1182	1633
126	1193	1625
127	1203	1616
128	1212	1607
129	1225	1602
130	1234	1592
131	1243	1582
132	1253	1573
133	1262	1564
134	1272	1555
135	1282	1546
136	1292	1537
137	1302	1528
138	1312	1519
139	1321	1510
140	1331	1501
141	1340	1491
142	1350	1482
143	1360	1473
144	1371	1465
145	1381	1456
146	1389	1446
147	1399	1437
148	1409	1428
149	1420	1420
150	1430	1411
151	1439	1401
152	1449	1392
153	1459	1383
154	1469	1374
155	1479	1365
156	1489	1356
157	1498	1347
158	1508	1337
159	1520	1330
160	1530	1321
161	1539	1311
162	1549	1301
163	1558	1292
164	1568	1282
165	1577	1273
166	1587	1263
167	1596	1254
168	1605	1244
169	1614	1234
170	1623	1224
171	1633	1215
172	1642	1205
173	1651	1195
174	1662	1187
175	1671	1177
176	1681	1168
177	1692	1159
178	1700	1149
179	1710	1140
180	1720	1131
181	1727	1120
182	1737	1110
183	1747	1101
184	1756	1092
185	1766	1082
186	1776	1073
187	1784	1063
188	1793	1053
189	1803	1044
190	1814	1035
191	1825	1026
192	1834	1016
193	1843	1007
194	1854	998
195	1864	989
196	1873	979
197	1882	969
198	1893	961
199	1902	951
200	1911	941
201	1921	932
202	1932	923
203	1943	914
204	1957	906
205	1968	898
206	1981	890
207	1992	881
208	2004	872
209	2015	863
210	2026	854
211	2039	846
212	2053	838
213	2066	830
214	2077	821
215	2090	812
216	2102	804
217	2114	795
218	2127	786
219	2138	777
220	2149	768
221	2162	759
222	2172	750
223	2182	740
224	2193	731
225	2204	721
226	2214	712
227	2225	702
228	2235	693
229	2245	683
230	2256	674
231	2264	663
232	2275	654
233	2285	644
234	2295	634
235	2305	625
236	2316	615
237	2327	606
238	2337	596
239	2348	587
240	2359	577
241	2368	567
242	2377	557
243	2388	548
244	2399	538
245	2410	529
246	2423	519
247	2434	510
248	2447	501
249	2455	491
250	2467	481
251	2478	472
252	2488	462
253	2499	452
254	2510	443
255	2520	433
256	2531	423
257	2544	414
258	2554	404
259	2565	394
260	2576	384
261	2586	375
262	2595	365
263	2608	355
264	2619	345
265	2630	336
266	2641	326
267	2651	316
268	2662	306
269	2672	296
270	2683	287
271	2694	277
272	2702	267
273	2712	257
274	2722	247
275	2732	237
276	2741	227
277	2751	217
278	2762	207
279	2772	198
280	2782	188
281	2794	178
282	2804	168
283	2816	158
284	2827	148
285	2839	139
286	2852	129
287	2862	119
288	2874	109
289	2885	99
290	2897	89
291	2908	79
292	2917	69
293	2929	59
294	2941	49
295	2951	39
296	2961	29
297	2972	19
298	2986	9
299	2996	0
